INSERT INTO PRODUCT_DETAIL (Product_id,Product_effective_dt,Status,Supplier,Units_per_pallet,Units_per_package,Unit_price,Unit_cost) VALUES
('110','2014-01-06','E','215','200','1','34.00','28.00'),
('110','2015-01-05','A','215','200','1','38.50','32.50'),
('115','2014-01-06','A','215','240','6','13.00','11.00'),
('120','2014-01-06','A','215','240','12','13.00','11.00'),
('125','2014-01-06','E','612','240','6','27.25','22.00'),
('125','2015-01-05','A','612','240','6','29.00','23.10'),
('130','2014-01-06','E','612','240','12','27.25','22.00'),
('130','2015-01-05','A','612','240','12','29.00','23.10'),
('210','2015-01-05','A','423','2500','50','8.75','7.25'),
('220','2015-01-05','A','423','2500','25','8.75','7.25'),
('222','2015-01-05','A','423','1200','4','18.00','15.35'),
('224','2015-01-05','A','423','600','2','18.00','15.35'),
('321','2015-01-05','A','340','600','1','10.50','0.00'),
('325','2015-01-05','A','340','300','1','19.00','0.00'),
('328','2015-01-05','A','340','120','1','38.00','0.00'),
('410','2015-01-05','A','446','300','6','10.00','9.00'),
('415','2015-01-05','A','446','300','12','20.00','18.00'),
('420','2015-01-05','A','446','300','24','40.00','36.00'),
('425','2015-01-05','A','446','300','6','8.00','7.20'),
('430','2015-01-05','A','446','300','12','16.00','14.40'),
('435','2015-01-05','A','446','300','24','32.00','28.80'),
('510','2015-01-05','A','446','1600','80','4.00','3.20'),
('515','2015-01-05','A','446','1600','100','5.00','4.00'),
('520','2015-01-05','A','446','1600','120','6.00','4.80'),
('525','2015-01-05','A','446','1000','40','8.00','6.40'),
('530','2015-01-05','A','446','1000','50','10.00','8.00'),
('535','2015-01-05','A','446','1000','60','12.00','9.60'),
('610','2015-01-05','A','720','1200','24','4.20','3.36'),
('615','2015-01-05','A','720','1200','36','4.20','3.36'),
('620','2015-01-05','A','720','1200','48','4.20','3.36'),
('625','2015-01-05','A','720','1200','24','5.00','4.00'),
('630','2015-01-05','A','720','1200','36','5.00','4.00'),
('635','2015-01-05','A','720','1200','48','5.00','4.00'),
('710','2014-01-06','E','650','1200','24','1.35','1.22'),
('710','2015-01-05','A','650','1200','24','1.50','1.37'),
('715','2014-01-06','E','650','1200','36','1.35','1.22'),
('715','2015-01-05','A','650','1200','36','1.50','1.37'),
('720','2014-01-06','E','650','1200','48','1.35','1.22'),
('720','2015-01-05','A','650','1200','48','1.50','1.37')
